KW,CHWTON,HTmmBTU,temperature,dew_point_temperature,station_level_pressure,sea_level_pressure,wet_bulb_temperature,altimeter,DayOfYear_cos,Combined mmBTU,GHG
13051.25,7910.211268,3394.117647,6.1,-3.9,982.5,1022.3,2.2,1022.7,0.9997037,3533.584251,5.030166667
13203.02,8817.077465,2985.294118,5,-3.9,982.9,1022.5,1.5,1023,0.9997037,3136.162036,5.301333333
13144.95,9614.894366,2888.235294,5,-5,983.5,1023.3,1.2,1023.7,0.9997037,3048.479768,5.5725
13331.35,9781.373239,2820.588235,5.6,-6.1,984.2,1024.1,1.2,1024.4,0.9997037,2983.466702,5.843666667
13158.13333,9559.163732,2829.411765,5,-6.1,984.5,1024.3,0.9,1024.7,0.9997037,2989.032394,6.114833333
12984.91667,9336.954225,2773.529412,7.8,-6.1,984.5,1024.5,2.4,1024.7,0.9997037,2929.892203,6.386
12811.7,9114.744718,2888.235294,9.4,-6.7,985.2,1025,3.2,1025.4,0.9997037,3041.340247,6.629
12750.58,8892.535211,3017.647059,11.1,-6.1,985.2,1025.1,4.2,1025.4,0.9997037,3167.876684,6.822
12604.7,8291.478873,3085.294118,12.8,-6.1,984.2,1023.9,5.1,1024.4,0.9997037,3227.812594,6.842
12386.98,7683.06338,3258.823529,15,-6.1,982.9,1022.4,6.2,1023,0.9997037,3393.297396,6.724
11821.52,6957.112676,3288.235294,15,-6.1,981.9,1021.5,6.2,1022,0.9997037,3412.067395,6.419
11491.9,6149.084507,3291.176471,15.6,-6.7,981.9,1021.5,6.4,1022,0.9997037,3404.186546,6.235
11822.13,6234.471831,3358.823529,16.7,-6.7,981.5,1021.2,6.9,1021.7,0.9997037,3473.9852,6.42
11864.1975,5534.260563,3514.705882,16.7,-6.7,981.2,1021,6.9,1021.3,0.999333408,3621.607769,6.125
11906.265,5354.859155,3567.647059,15,-6.1,981.5,1021.2,6.2,1021.7,0.999333408,3672.539473,6.074
11948.3325,5094.683099,3626.470588,12.8,-5,981.9,1021.7,5.4,1022,0.999333408,3728.384141,6.107
11990.4,5708.06338,3750,12.2,-5,981.9,1021.6,5.1,1022,0.999333408,3859.418362,6.51
11930.315,5321.267606,3864.705882,10.6,-3.3,981.9,1021.7,4.7,1022,0.999333408,3969.277226,6.228
11870.23,5423.204225,3952.941176,9.4,-3.3,981.9,1021.8,4.2,1022,0.999333408,4058.530846,6.445
12670.95,5532.992958,4079.411765,8.3,-3.3,981.5,1021.2,3.6,1021.7,0.999333408,4189.051339,6.878
13039.83,6162.007042,4205.882353,7.8,-3.9,981.5,1021.2,3.1,1021.7,0.999333408,4324.329549,7.079
12917.35,6028.450704,4179.411765,7.2,-4.4,981.5,1021.1,2.6,1021.7,0.999333408,4295.838192,6.838
12740.8,6454.330986,3858.823529,6.7,-5,981.5,1021.3,2.1,1021.7,0.999333408,3979.758558,5.59
12694.75,6882.429577,3741.176471,6.1,-4.4,981.5,1021.1,2,1021.7,0.999333408,3867.092032,5.189
12766.98,7344.366197,3411.764706,5.6,-4.4,981.5,1021.1,1.7,1021.7,0.999333408,3543.470504,4.826
12996.3,8025.56338,2979.411765,5.6,-5,981.5,1021.1,1.5,1021.7,0.999333408,3120.075218,5.0688
13112.88,9160.598592,2902.941176,4.4,-5,981.9,1021.6,0.9,1022,0.999333408,3057.624151,5.3116
13124.73,9967.394366,2788.235294,4.4,-4.4,982.2,1022.1,1,1022.4,0.999333408,2952.641172,5.5544
13255.15,9709.591549,2767.647059,4.4,-5,982.2,1021.9,0.9,1022.4,0.999333408,2929.404045,5.7972
13264.935,9451.788732,2761.764706,7.2,-5.6,982.5,1022.3,2.3,1022.7,0.999333408,2920.461155,6.04
13274.72,9193.985915,2894.117647,8.9,-5.6,983.2,1023,3.2,1023.4,0.999333408,3049.753558,6.816
13165.1,8936.183099,2979.411765,10.6,-5,983.2,1023.1,4.3,1023.4,0.999333408,3131.579691,7.064
12843.63,8678.380282,3008.823529,13.3,-6.1,982.2,1021.9,5.4,1022.4,0.999333408,3156.800568,6.975
12633.63,7857.394366,3088.235294,13.9,-6.1,980.9,1020.6,5.7,1021,0.999333408,3225.642981,6.859
12381,7289.119718,3152.941176,15.6,-6.1,980.2,1019.8,6.5,1020.3,0.999333408,3282.666866,6.721
12174.47,6911.725352,3185.294118,17.2,-5.6,979.9,1019.4,7.4,1020,0.999333408,3309.785899,6.609
12158.335,6214.859155,3297.058824,17.2,-5.6,979.9,1019.5,7.4,1020,0.999333408,3413.13236,6.468
12142.2,5987.429577,3452.941176,17.2,-5,979.6,1019.1,7.6,1019.6,0.998815153,3566.230241,6.593
12214.3,5656.584507,3532.352941,16.7,-5,979.6,1019.3,7.3,1019.6,0.998815153,3641.917517,6.632
12322.65,5695.774648,3667.647059,15.6,-5,980.2,1020,6.8,1020.3,0.998815153,3778.051686,6.691
12388.63,5537.464789,3752.941176,12.2,-3.9,980.2,1020,5.4,1020.3,0.998815153,3861.67105,6.726
12587.65,6043.274648,3820.588235,11.1,-3.3,980.6,1020.2,5,1020.7,0.998815153,3936.067523,6.834
13157.2,5987.147887,4232.352941,10.6,-2.8,980.6,1020.2,4.9,1020.7,0.998815153,4349.102132,7.144
13745.8,6667.359155,4267.647059,9.4,-2.2,980.6,1020.4,4.5,1020.7,0.998815153,4394.568052,7.464
14080.67,6264.049296,4432.352941,8.9,-2.8,980.9,1020.4,4,1021,0.998815153,4555.576441,7.64
13831.4,6744.401408,4317.647059,7.8,-3.3,980.9,1020.4,3.3,1021,0.998815153,4445.784742,7.339
13825.32,6727.359155,3994.117647,7.2,-3.9,980.6,1020.1,2.8,1020.7,0.998815153,4122.030056,6.279
13953.9,8066.021127,3511.764706,7.2,-3.9,980.6,1020,2.8,1020.7,0.998815153,3656.181338,5.215
14289.55,9299.71831,3173.529412,6.7,-3.9,980.6,1020.1,2.5,1020.7,0.998815153,3333.897159,5.524333333
14529.97,10369.15493,3085.294118,6.7,-4.4,980.6,1020,2.3,1020.7,0.998815153,3259.316712,5.833666667
15350,12166.61972,2917.647059,6.7,-4.4,981.2,1020.8,2.3,1021.3,0.998815153,3116.039481,6.143
15050.18,11872.05399,2832.352941,6.1,-5,981.9,1021.4,1.8,1022,0.998815153,3026.187157,6.452333333
14750.36,11577.48826,2861.764706,5.6,-4.4,982.2,1022,1.7,1022.4,0.998815153,3051.040716,6.761666667
14450.54,11282.92254,2829.411765,7.2,-4.4,982.5,1022.5,2.6,1022.7,0.998815153,3014.129569,7.071
14150.72,10988.35681,2908.823529,10.6,-4.4,983.2,1023,4.4,1023.4,0.998815153,3088.983126,7.215
13850.9,10693.79108,2979.411765,13.9,-5.6,982.9,1022.6,5.8,1023,0.998815153,3155.013156,7.359
13533.58,10399.22535,3026.470588,15,-5.6,981.5,1021.1,6.4,1021.7,0.998815153,3197.454057,7.35
13233.35,9778.521127,2935.294118,17.8,-4.4,979.6,1019.2,8,1019.6,0.998815153,3097.803949,7.184
12844.38,9082.852113,2885.294118,18.9,-5,978.9,1018.2,8.4,1019,0.998815153,3038.127839,6.975
12473.6,8436.65493,2817.647059,19.4,-5,977.9,1017.3,8.6,1017.9,0.998815153,2961.460457,6.77
12112.15,7280.774648,2935.294118,20,-5,977.3,1016.6,8.9,1017.3,0.998815153,3064.002254,6.577
12317.55,6579.71831,3144.117647,20,-5,977,1016.3,8.9,1016.9,0.998149087,3265.113201,6.687
12332.05,6641.267606,3205.882353,18.3,-4.4,977.3,1016.6,8.3,1017.3,0.998149087,3327.666047,6.693
12216.05,6094.049296,3202.941176,16.7,-3.9,977.6,1017.1,7.6,1017.6,0.998149087,3317.761799,6.632
12387.47,6401.373239,3297.058824,15,-3.9,977.3,1016.7,6.8,1017.3,0.998149087,3416.152624,6.726
12456.55,6123.838028,3470.588235,12.8,-2.8,977,1016.5,6,1016.9,0.998149087,3586.58702,6.762
13083.8,6709.577465,3676.470588,13.3,-2.8,978.3,1017.6,6.3,1018.3,0.998149087,3801.639292,7.101
13359.63,6732.5,3955.882353,11.7,-2.8,977.9,1017.3,5.5,1017.9,0.998149087,4082.267374,7.254
13192.65,6992.640845,3836.029412,11.1,-1.7,978.3,1017.6,5.6,1018.3,0.998149087,3964.966629,7.162
12967.1,6684.753521,3716.176471,10.6,-1.7,977.6,1017.1,5.3,1017.6,0.998149087,3840.649041,6.844
12967.42,7384.894366,3596.323529,10,-1.7,977.3,1016.7,5,1017.3,0.998149087,3729.199677,5.652
13145.73,8318.943662,3476.470588,8.9,-1.7,977.6,1016.8,4.4,1017.6,0.998149087,3621.164842,4.524
13582.65,10604.54225,3023.529412,9.4,-2.2,977.6,1016.8,4.5,1017.6,0.998149087,3197.14436,4.773333333
13827.52,12324.78873,2888.235294,8.3,-1.7,977.6,1017,4.1,1017.6,0.998149087,3083.330732,5.022666667
13996.92,13807.11268,2794.117647,7.8,-1.7,977.3,1016.8,3.8,1017.3,0.998149087,3007.580706,5.272
14012.7,13406.37911,2717.647059,7.2,-2.8,978.3,1017.7,3.1,1018.3,0.998149087,2926.354706,5.521333333
13885.4,13005.64554,2676.470588,6.7,-2.8,978.6,1018,2.8,1018.6,0.998149087,2879.934587,5.770666667
13817.3,12604.91197,2673.529412,8.9,-2.8,979.2,1018.9,4,1019.3,0.998149087,2871.951774,6.02
13585.2,12204.1784,2676.470588,11.7,-3.9,979.6,1019.1,5.1,1019.6,0.998149087,2869.291691,6.932
13232.65,11803.44484,2805.882353,15,-3.9,979.2,1018.6,6.8,1019.3,0.998149087,2992.691183,7.121
13391.64333,11402.71127,2864.705882,16.7,-4.4,978.6,1017.8,7.5,1018.6,0.998149087,3047.24799,6.951
13550.63667,10200.88028,2885.294118,17.8,-5.6,977.6,1016.7,7.7,1017.6,0.998149087,3053.955424,7.025
13709.63,9523.521127,2955.882353,19.4,-5,976.6,1015.9,8.6,1016.6,0.998149087,3116.957115,7.444
14213.48,8209.119718,2900,21.7,-4.4,976.3,1015.3,9.8,1016.3,0.998149087,3047.019748,8.111
14717.33,7213.556338,3055.882353,20.6,-4.4,976.3,1015.5,9.3,1016.3,0.998149087,3192.673507,7.991
14638.58,6803.415493,3111.764706,20.6,-3.3,976.6,1015.7,9.6,1016.6,0.99733541,3243.364983,7.948
14483.65,6382.535211,3205.882353,19.4,-2.8,977,1016.3,9.2,1016.9,0.99733541,3331.902917,7.865
14335.6,6490.211268,3276.470588,18.3,-2.8,977.6,1017,8.7,1017.6,0.99733541,3403.278193,7.783
14307.9,6169.683099,3370.588235,17.2,-2.2,977.9,1017.3,8.4,1017.9,0.99733541,3493.454616,7.77
14373.77,6600.28169,3620.588235,13.9,-1.7,978.6,1018.1,7,1018.6,0.99733541,3748.847058,7.804
14599.83,6401.93662,3917.647059,13.9,-2.2,978.9,1018.5,6.8,1019,0.99733541,4044.296905,7.929
14547.625,6830.774648,4017.647059,11.1,-1.7,979.2,1018.8,5.6,1019.3,0.99733541,4149.265309,8.128
14495.42,6605,4141.176471,10.6,-1.7,979.6,1018.9,5.3,1019.6,0.99733541,4269.907028,7.868
13766.43,7182.253521,4007.352941,9.4,-1.7,979.6,1018.9,4.7,1019.6,0.99733541,4140.523648,7.218
13344.78,7280.492958,3873.529412,8.9,-1.7,979.6,1019.1,4.4,1019.6,0.99733541,4006.440299,5.568
13314.48,8912.570423,3438.235294,8.9,-2.8,979.9,1019.2,4,1020,0.99733541,3590.629573,4.168
13799.3,11382.42958,3011.764706,7.8,-2.8,979.9,1019.3,3.4,1020,0.99733541,3195.454467,4.523166667
14130.27,13703.76761,2882.352941,7.2,-2.8,979.9,1019.5,3.1,1020,0.99733541,3095.030775,4.878333333
14125.4,13353.04829,2905.882353,5,-2.8,980.2,1019.8,1.9,1020.3,0.99733541,3114.334538,5.2335
14098.25,13002.32897,2814.705882,6.7,-2.8,980.9,1020.4,2.8,1021,0.99733541,3018.856392,5.588666667
13881.63,12651.60966,2882.352941,6.7,-3.9,981.2,1020.9,2.5,1021.3,0.99733541,3081.555243,5.943833333
13647.83,12300.89034,2800,8.9,-2.8,981.9,1021.5,4,1022,0.99733541,2994.19547,6.299
13427.85,11950.17103,2800,12.2,-4.4,982.2,1021.7,5.3,1022.4,0.99733541,2989.235797,6.9
13131.9,11599.45171,2858.823529,15,-5,981.5,1021.1,6.5,1021.7,0.99733541,3042.840418,7.127
13396.36667,11248.73239,2976.470588,18.9,-5.6,980.6,1019.9,8.2,1020.7,0.99733541,3157.180892,6.879
13660.83333,10421.12676,2955.882353,20,-8.3,979.6,1018.9,8.1,1019.6,0.99733541,3127.562893,6.785
13925.3,9510.669014,2894.117647,20.6,-7.2,978.6,1017.9,8.6,1018.6,0.99733541,3055.774104,7.561
14081.11,8563.309859,2950,21.1,-7.8,977.9,1017.3,8.7,1017.9,0.99733541,3100.818744,8.141
14236.92,7205.809859,3079.411765,20.6,-7.8,977.9,1017.1,8.5,1017.9,0.99733541,3214.470639,7.728
13769.5,6164.753521,3300,20.6,-7.8,977.6,1017,8.5,1017.6,0.996374361,3420.970026,7.478
13863.63,6285.211268,3329.411765,19.4,-7.2,977.6,1016.9,8.1,1017.6,0.996374361,3452.148623,7.527
14045.58,6262.394366,3402.941176,16.7,-6.1,977.6,1017.1,7,1017.6,0.996374361,3526.025077,7.625
14034.6,5969.295775,3494.117647,15,-5,978.3,1017.7,6.5,1018.3,0.996374361,3613.646564,7.619
14095.67,6569.71831,3641.176471,15,-6.1,978.3,1017.8,6.2,1018.3,0.996374361,3768.119532,7.654
14164.64667,6513.943662,3879.411765,12.8,-5,978.6,1017.9,5.4,1018.6,0.996374361,4005.920838,7.963
14233.62333,7166.725352,4020.588235,11.7,-4.4,978.3,1017.7,5,1018.3,0.996374361,4155.166801,8.278
14302.6,7048.415493,4173.529412,10,-3.9,978.3,1017.7,4.3,1018.3,0.996374361,4306.923496,7.764
13430.07,7382.816901,4069.117647,10,-3.9,978.6,1017.7,4.3,1018.6,0.996374361,4203.547574,7.038
13101.28,7803.978873,3964.705882,8.9,-4.4,978.9,1018.2,3.5,1019,0.996374361,4103.068295,5.473
13408.02,9517.957746,3532.352941,8.9,-4.4,978.9,1018.2,3.5,1019,0.996374361,3692.331745,4.225
13786.98,11398.1338,3076.470588,7.8,-4.4,978.6,1018.1,2.9,1018.6,0.996374361,3260.306777,4.509666667
13892.42,12788.73239,2876.470588,7.2,-5.6,978.6,1017.8,2.3,1018.6,0.996374361,3077.355337,4.794333333
14130.7,13855.03521,2814.705882,7.2,-6.1,978.9,1018.5,2.1,1019,0.996374361,3029.200566,5.079
14135.52,13426.027,2755.882353,7.2,-6.1,979.2,1018.6,2.1,1019.3,0.996374361,2965.244898,5.363666667
14060,12997.01878,2682.352941,6.7,-5.6,979.6,1019.2,2,1019.6,0.996374361,2886.309201,5.648333333
13891.45,12568.01056,2791.176471,9.4,-5.6,980.2,1019.8,3.5,1020.3,0.996374361,2989.408997,5.933
13647.25,12139.00235,2744.117647,11.7,-6.1,980.9,1020.3,4.5,1021,0.996374361,2936.368298,6.958
13327.5,11709.99413,2917.647059,15.6,-7.2,980.6,1019.9,6.2,1020.7,0.996374361,3103.658033,7.222
13618.71,11280.98592,2961.764706,17.8,-8.3,979.2,1018.7,7,1019.3,0.996374361,3143.620796,6.938
13909.92,10204.61268,2970.588235,19.4,-8.9,978.6,1017.7,7.7,1018.6,0.996374361,3140.520324,6.769
14201.13,9342.852113,3000,20,-8.3,977.6,1016.7,8.1,1017.6,0.996374361,3160.583685,7.711
14180.41333,8267.323944,3044.117647,21.7,-8.9,977,1016,8.8,1016.9,0.996374361,3191.723078,8.341
14159.69667,7411.161972,3138.235294,21.1,-6.7,976.6,1015.9,9,1016.6,0.996374361,3275.495116,8.026
14138.98,6648.239437,3267.647059,20.6,-7.8,976.6,1015.9,8.5,1016.6,0.995266226,3395.680251,7.676
13918.1,6431.971831,3279.411765,19.4,-7.2,977,1016.4,8.1,1016.9,0.995266226,3404.095786,7.557
13912.88,6484.190141,3323.529412,18.9,-5.6,977.3,1016.6,8.2,1017.3,0.995266226,3448.822299,7.552
14494.78,6410.387324,3388.235294,15.6,-5,977.9,1017.3,6.8,1017.9,0.995266226,3514.628094,7.872
14668.15,6771.619718,3661.764706,14.4,-4.4,977.9,1017.4,6.4,1017.9,0.995266226,3793.0843,7.963
14441.83,6495,3882.352941,12.8,-3.9,978.3,1017.6,5.7,1018.3,0.995266226,4009.580507,7.841
14203.605,6952.535211,4052.941176,11.7,-3.3,978.3,1017.5,5.3,1018.3,0.995266226,4184.846784,8.19
13965.38,7301.514085,4173.529412,10.6,-3.3,977.9,1017.2,4.7,1017.9,0.995266226,4308.810263,7.577
13141.45,7046.161972,4173.529412,10,-3.9,977.9,1017.3,4.3,1017.9,0.995266226,4302.934233,6.887
13089.83,7953.767606,3941.176471,10,-3.9,978.3,1017.5,4.3,1018.3,0.995266226,4081.297448,5.445
13400.68,8976.021127,3452.941176,9.4,-3.9,978.3,1017.6,4,1018.3,0.995266226,3606.391078,4.215
13690.25,11194.08451,3029.411765,8.3,-4.4,978.3,1017.6,3.2,1018.3,0.995266226,3210.469057,4.5372
13949.83,12822.85211,2776.470588,7.8,-4.4,978.3,1017.8,2.9,1018.3,0.995266226,2977.960714,4.8594
14095.65,12478.95372,2844.117647,7.2,-5,978.3,1017.8,2.4,1018.3,0.995266226,3041.978186,5.1816
14001.78,12135.05533,2785.294118,6.7,-5.6,978.9,1018.4,2,1019,0.995266226,2978.707171,5.5038
13824.5,11791.15694,2876.470588,7.2,-5.6,979.2,1018.7,2.3,1019.3,0.995266226,3065.151532,5.826
13767.08,11447.25855,2844.117647,8.9,-6.1,979.6,1019.2,3,1019.6,0.995266226,3028.475484,6.369
13453.5,11103.36016,2835.294118,12.8,-6.7,980.2,1019.9,4.9,1020.3,0.995266226,3014.454747,7.046
13129.95,10759.46177,2985.294118,15.6,-7.2,979.9,1019.4,6.2,1020,0.995266226,3159.223518,7.122
13176.965,10415.56338,3026.470588,16.7,-6.7,979.2,1018.6,6.9,1019.3,0.995266226,3196.433247,6.896
13223.98,10028.38028,2985.294118,18.3,-6.1,977.9,1017.1,7.8,1017.9,0.995266226,3150.77057,7.182
13715.7,9270.704225,3079.411765,18.9,-8.3,977,1016.2,7.6,1016.9,0.995266226,3237.473149,7.449
13666.77333,8362.007042,3050,19.4,-7.8,976.3,1015.5,8,1016.3,0.995266226,3196.989031,8.223
13617.84667,7580.739437,3088.235294,20,-7.2,976,1015.2,8.3,1015.9,0.995266226,3225.681271,7.934
13568.92,6663.556338,3258.823529,19.4,-7.2,975.3,1014.6,8.1,1015.2,0.994011333,3385.095312,7.368
13574.05,6324.119718,3273.529412,18.3,-6.7,975.6,1015,7.7,1015.6,0.994011333,3395.745075,7.371
13554.3,6290,3373.529412,15.6,-5.6,976.3,1015.6,6.6,1016.3,0.994011333,3495.268206,7.36
13532.07,5908.380282,3485.294118,15.6,-5,976.3,1015.9,6.8,1016.3,0.994011333,3602.377186,7.347
14137.7,6358.732394,3658.823529,13.9,-4.4,976,1015.6,6.1,1015.9,0.994011333,3783.377939,7.677
13632.63,6259.401408,3814.705882,13.3,-4.4,975.6,1015,5.8,1015.6,0.994011333,3936.344746,7.401
14079.63,6315.809859,4029.411765,13.3,-4.4,976,1015.2,5.8,1015.9,0.994011333,4153.252902,7.646
13819.82,6831.65493,4091.176471,10.6,-3.3,976.3,1015.6,4.7,1016.3,0.994011333,4220.32178,7.498
12964.22,6521.690141,4088.235294,10,-4.4,976,1015.3,4.1,1015.9,0.994011333,4210.74109,6.783
12866.05,7112.464789,3944.117647,9.4,-4.4,975.6,1015,3.8,1015.6,0.994011333,4073.378423,5.263
12767.88,7323.028169,3570.588235,7.8,-2.8,976,1015.4,3.4,1015.9,0.994011333,3702.041024,3.887
13332.97,8798.450704,3167.647059,7.2,-3.3,976.3,1015.4,3,1016.3,0.994011333,3318.734866,4.2785
13626.58,10283.38028,2838.235294,6.7,-4.4,975.6,1014.9,2.3,1015.6,0.994011333,3008.145837,4.67
13866.83,11205.49296,2779.411765,6.1,-4.4,974.7,1014.1,2,1014.6,0.994011333,2961.208519,5.0615
14522.73,10961.45372,2726.470588,5,-5,974.7,1014.3,1.2,1014.6,0.994011333,2907.576736,5.453
14335.03,10717.41449,2785.294118,5.6,-5.6,975.3,1015,1.3,1015.2,0.994011333,2962.831024,5.8445
14147.33,10473.37525,2817.647059,6.7,-4.4,977,1016.4,2.3,1016.9,0.994011333,2991.614724,6.236
13959.63,10229.33602,2920.588235,9.4,-5,977.3,1016.8,3.6,1017.3,0.994011333,3090.986659,7.14
13585.52,9985.296781,2955.882353,12.2,-5.6,977.3,1016.7,4.9,1017.3,0.994011333,3122.075445,7.32
13428.78,9741.257545,3041.176471,15,-6.1,976.3,1015.8,6.2,1016.3,0.994011333,3203.905967,7.294
13058.18,9497.21831,2961.764706,16.1,-6.7,975.3,1014.6,6.6,1015.2,0.994011333,3120.300847,7.089
12712.48,8895.457746,3114.705882,18.9,-6.1,974.7,1013.9,8.1,1014.6,0.994011333,3264.840572,6.905
12474.85,8234.753521,3211.764706,19.4,-10,974.3,1013.5,7.5,1014.2,0.994011333,3353.159323,6.771
12120.42,7711.232394,3258.823529,19.4,-9.4,974.3,1013.6,7.6,1014.2,0.994011333,3392.725868,6.58
11878,7363.380282,3252.941176,18.9,-9.4,974.7,1013.8,7.3,1014.6,0.992610053,3381.841679,6.45
11733.9,6599.647887,3394.117647,16.7,-8.9,975,1014.5,6.4,1014.9,0.992610053,3513.360777,6.37
11792.52,6683.521127,3382.352941,16.7,-8.9,976,1015.3,6.4,1015.9,0.992610053,3502.802675,6.402
11791.13,6320.633803,3558.823529,13.9,-7.8,976.6,1016.2,5.2,1016.6,0.992610053,3674.91346,6.403
11963.815,5994.260563,3526.470588,15,-7.2,977,1016.5,5.9,1016.9,0.992610053,3639.232925,6.211
12136.5,6157.78169,3782.352941,12.8,-6.7,977.9,1017.3,4.9,1017.9,0.992610053,3897.666975,6.591
12788.85,6735.774648,3944.117647,12.2,-6.7,978.3,1017.8,4.6,1018.3,0.992610053,4068.594282,6.943
12929.58,6951.760563,3994.117647,9.4,-6.1,978.6,1018.1,3.3,1018.6,0.992610053,4121.666575,7.017
12896.65,6920.809859,3900,10,-6.7,978.9,1018.3,3.5,1019,0.992610053,4027.065116,6.745
12889.25,7649.119718,3732.352941,10,-6.7,979.6,1018.8,3.5,1019.6,0.992610053,3868.133353,5.24
13175.65,8692.007042,3291.176471,8.9,-6.1,979.9,1019.3,3,1020,0.992610053,3440.450006,3.949
13553.58,10078.83803,2958.823529,5.6,-5.6,980.2,1019.7,1.3,1020.3,0.992610053,3126.030232,4.323833333
14286.25,11051.76056,2782.352941,7.2,-5.6,980.2,1019.8,2.3,1020.3,0.992610053,2963.735928,4.698666667
14143.52857,12390.66901,2776.470588,5.6,-5.6,980.9,1020.5,1.3,1021,0.992610053,2973.434987,5.0735
14000.80714,11954.64202,2711.764706,5,-5.6,981.5,1021.2,1,1021.7,0.992610053,2903.009274,5.448333333
13858.08571,11518.61502,2744.117647,4.4,-5.6,982.5,1022.4,0.7,1022.7,0.992610053,2929.642384,5.823166667
13715.36429,11082.58803,2750,8.9,-6.7,982.9,1022.5,2.9,1023,0.992610053,2929.804905,6.198
13572.64286,10646.56103,2882.352941,12.2,-7.2,983.2,1022.9,4.5,1023.4,0.992610053,3056.438015,7.416
13429.92143,10210.53404,2944.117647,15.6,-8.3,983.5,1023,6,1023.7,0.992610053,3112.482889,7.505
